date,tsmc,am,asml,sumco
2021-06-06,47,15,20,3
2021-06-13,48,12,17,2
2021-06-20,50,20,25,0
2021-06-27,53,18,20,<1
2021-07-04,61,19,19,0
2021-07-11,100,21,25,1
2021-07-18,80,19,34,2
2021-07-25,59,18,21,2
2021-08-01,45,20,27,1
2021-08-08,56,21,29,2
2021-08-15,70,19,24,2
2021-08-22,66,19,23,2
2021-08-29,63,23,34,1
2021-09-05,75,25,39,0
2021-09-12,50,18,31,2
2021-09-19,53,9,27,2
2021-09-26,69,20,44,1
2021-10-03,69,19,38,<1
2021-10-10,65,14,28,2
2021-10-17,78,21,52,2
2021-10-24,64,18,36,0
2021-10-31,62,23,34,<1
2021-11-07,72,17,40,1
2021-11-14,67,21,29,1
2021-11-21,61,18,30,<1
2021-11-28,59,24,28,2
2021-12-05,58,18,24,5
2021-12-12,60,23,27,1
2021-12-19,52,29,34,<1
2021-12-26,47,28,27,1
2022-01-02,95,28,57,1
2022-01-09,99,23,38,2
2022-01-16,84,31,35,1
2022-01-23,78,21,41,<1
2022-01-30,43,14,30,0
2022-02-06,65,17,37,3
2022-02-13,72,21,32,2
2022-02-20,88,27,25,2
2022-02-27,69,22,31,1
2022-03-06,95,26,42,3
2022-03-13,87,25,38,2
2022-03-20,70,29,35,3
2022-03-27,69,16,36,2
2022-04-03,55,22,27,1
2022-04-10,73,22,35,1
2022-04-17,68,24,32,2
2022-04-24,73,18,28,<1
2022-05-01,73,19,24,1
2022-05-08,79,18,27,3
2022-05-15,67,18,32,3
2022-05-22,66,17,32,2
2022-05-29,35,21,19,0
